00-91	AMASync1	AMANDA_SYNC_DOM	1e5b72775d19
07-03	UP9P3756	Snuffleupagus	6511ed1cd5ee
07-04	TP9P3721	Rizzo_the_Rat	81a1e3528513
07-05	UP8P3590	Courmayeur	516863947ff3
07-06	TP8P3477	Alyeska	677103df0166
07-07	UP8P3480	Scott_Base	62d6ff9d885e
07-08	TP8P3561	Copper_Mountain	9dba7367a644
07-09	UP9P3754	Oscar_the_Grouch	9ebb6bf2e9dd
07-10	TP8P3667	Primordial_Soup	0016e47ed47d
07-11	UP9P3734	Clueless_Morgan	010f953463fd
07-12	TP8P3597	Madonna_Campigilo	ac385502ab6f
07-13	UP9P3818	Three_Broomsticks	508c83f3d282
07-14	TP8P3475	Breckenridge	7b756d8ed384
07-15	UP9P3806	Ravenclaw_Common_Room	59e854b2334a
07-16	TP8P3669	Solarquest	cec9fb8d835d
07-17	UP8P3566	Nez_Perce	dc0a29be8064
07-18	TP8P3589	Deer_Valley	aa4ec3be6225
07-19	UP9P3714	Angel_Marie	9dd5d112d521
07-20	TP9P3739	Jacques_Roach	ef1af622b58b
07-21	UP8P3570	Squaw_Valley	562339bd2e82
07-22	TP9P3811	Picnic_Point	77dde13d0ebd
07-23	UP9P3788	Magnolia_Crescent	d4c2b259064f
07-24	TP9P3727	Zucchini_Brothers	4c0b330adce0
07-25	UP9P3716	Really_Old_Tom	c3ac860a3507
07-26	TP9P3717	Old_Tom	f6f4eeea38ce
07-27	UP9P3726	Statler	6dc56d2e7493
07-28	TP9P3729	Waldorf	29649cf0f7fb
07-29	UP9P3752	Bert	39595502201c
07-30	TP9P3759	Hoots_the_Owl	9799a544b540
07-31	UP8P3562	Cane_River_Creole	524093180cb7
07-32	TP9P3735	Marvin_Suggs	7754dfe66a52
07-33	UP9P3804	Slytherin_Common_Room	0e0055b4d643
07-34	TP9P3757	Grover	b6fd3a422011
07-35	UP6Y4438	Brhaspati	0a21a4b86298
07-36	TP9P3755	Cookie_Monster	2320fe51cc91
07-43	UP8P3582	Sugarbush	eaf3fe2cc0e2
07-44	TP8P3491	Ear_Muffs	8b13cb959e23
07-46	TP8P3593	Killington	d4db9f1b764d
07-47	UP9P3794	Little_Hangleton	8991c42c01a7
07-48	TP8P3595	Stratton	18fd168086cd
07-49	UP8P3604	Campo_Imperatore	437ba560f8c5
