NLAYER 130
NWVL 30 300 10
LAYER -670 -660
ABS 0.0069 0.0066 0.0064 0.0062 0.0060 0.0059 0.0057 0.0056 0.0055 0.0055 0.0056 0.0057 0.0059 0.0063 0.0069 0.0077 0.0088 0.0103 0.0122 0.0147 0.0180 0.0220 0.0270 0.0332 0.0407 0.0499 0.0608 0.0739 0.0894 0.1075 
SCAT 0.0438 0.0427 0.0416 0.0405 0.0395 0.0386 0.0377 0.0369 0.0361 0.0353 0.0346 0.0339 0.0332 0.0325 0.0319 0.0313 0.0308 0.0302 0.0297 0.0292 0.0287 0.0282 0.0278 0.0273 0.0269 0.0265 0.0261 0.0257 0.0254 0.0250 
COS 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 
N_GROUP 1.3968 1.3915 1.3864 1.3816 1.3770 1.3726 1.3685 1.3647 1.3611 1.3577 1.3546 1.3517 1.3490 1.3466 1.3444 1.3424 1.3406 1.3390 1.3375 1.3362 1.3351 1.3340 1.3331 1.3322 1.3314 1.3306 1.3298 1.3289 1.3280 1.3270 
N_PHASE 1.3330 1.3310 1.3291 1.3274 1.3259 1.3245 1.3232 1.3220 1.3209 1.3199 1.3190 1.3181 1.3174 1.3166 1.3160 1.3154 1.3148 1.3143 1.3137 1.3133 1.3128 1.3124 1.3120 1.3116 1.3112 1.3108 1.3105 1.3102 1.3098 1.3095 
LAYER -520 -510
ABS 0.0069 0.0066 0.0064 0.0062 0.0060 0.0059 0.0057 0.0056 0.0056 0.0055 0.0056 0.0057 0.0059 0.0063 0.0069 0.0077 0.0088 0.0103 0.0122 0.0148 0.0180 0.0220 0.0270 0.0332 0.0407 0.0499 0.0608 0.0739 0.0894 0.1076 
SCAT 0.0440 0.0428 0.0417 0.0406 0.0397 0.0387 0.0378 0.0370 0.0362 0.0354 0.0347 0.0340 0.0333 0.0326 0.0320 0.0314 0.0309 0.0303 0.0298 0.0293 0.0288 0.0283 0.0279 0.0274 0.0270 0.0266 0.0262 0.0258 0.0254 0.0251 
COS 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 
N_GROUP 1.3968 1.3915 1.3864 1.3816 1.3770 1.3726 1.3685 1.3647 1.3611 1.3577 1.3546 1.3517 1.3490 1.3466 1.3444 1.3424 1.3406 1.3390 1.3375 1.3362 1.3351 1.3340 1.3331 1.3322 1.3314 1.3306 1.3298 1.3289 1.3280 1.3270 
N_PHASE 1.3330 1.3310 1.3291 1.3274 1.3259 1.3245 1.3232 1.3220 1.3209 1.3199 1.3190 1.3181 1.3174 1.3166 1.3160 1.3154 1.3148 1.3143 1.3137 1.3133 1.3128 1.3124 1.3120 1.3116 1.3112 1.3108 1.3105 1.3102 1.3098 1.3095 
LAYER -510 -500
ABS 0.0069 0.0067 0.0065 0.0062 0.0061 0.0059 0.0058 0.0056 0.0056 0.0055 0.0056 0.0057 0.0060 0.0063 0.0069 0.0077 0.0088 0.0103 0.0123 0.0148 0.0180 0.0220 0.0270 0.0332 0.0408 0.0499 0.0608 0.0739 0.0894 0.1076 
SCAT 0.0441 0.0429 0.0418 0.0408 0.0398 0.0388 0.0379 0.0371 0.0363 0.0355 0.0348 0.0341 0.0334 0.0327 0.0321 0.0315 0.0310 0.0304 0.0299 0.0294 0.0289 0.0284 0.0280 0.0275 0.0271 0.0267 0.0263 0.0259 0.0255 0.0252 
COS 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 
N_GROUP 1.3968 1.3915 1.3864 1.3816 1.3770 1.3726 1.3685 1.3647 1.3611 1.3577 1.3546 1.3517 1.3490 1.3466 1.3444 1.3424 1.3406 1.3390 1.3375 1.3362 1.3351 1.3340 1.3331 1.3322 1.3314 1.3306 1.3298 1.3289 1.3280 1.3270 
N_PHASE 1.3330 1.3310 1.3291 1.3274 1.3259 1.3245 1.3232 1.3220 1.3209 1.3199 1.3190 1.3181 1.3174 1.3166 1.3160 1.3154 1.3148 1.3143 1.3137 1.3133 1.3128 1.3124 1.3120 1.3116 1.3112 1.3108 1.3105 1.3102 1.3098 1.3095 
LAYER -500 -490
ABS 0.0069 0.0067 0.0065 0.0063 0.0061 0.0059 0.0058 0.0057 0.0056 0.0056 0.0056 0.0057 0.0060 0.0063 0.0069 0.0077 0.0088 0.0103 0.0123 0.0148 0.0180 0.0220 0.0270 0.0332 0.0408 0.0499 0.0609 0.0739 0.0894 0.1076 
SCAT 0.0443 0.0431 0.0420 0.0409 0.0399 0.0390 0.0381 0.0372 0.0364 0.0356 0.0349 0.0342 0.0335 0.0328 0.0322 0.0316 0.0311 0.0305 0.0300 0.0295 0.0290 0.0285 0.0280 0.0276 0.0272 0.0268 0.0264 0.0260 0.0256 0.0252 
